Species,Genus,Family,Envelope,Genome,ICTV history URL,Discovery year,Reference (discovery),Serological detection only,Vector,Inhalation,Ingestion,Sexual,Iatrogenic (inc. blood),Fomites,Broken Skin,Maternal,Direct Contact,Reference (Transmission route),Ref2 (TR),Transmission level,Person-to-person,Host range,Human only,Non-human primate,Other mammals,Birds,Reptiles,Fish,Reference (Host range),Ref2 (HR)
Chapare mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161875,2008,18421377,N,0,1,0,0,0,0,0,0,0,12615305,,2,0,broad,0,0,1,0,0,0,18421377,
Guanarito mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161879,1991,1681354,N,0,1,0,0,0,0,0,0,0,8166352,12615305,3,1,broad,0,0,1,0,0,0,10463688,
Junín mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161881,1958,13586110,N,0,1,0,0,0,0,0,0,0,24901990,12615305,3,1,broad,0,0,1,0,0,0,23202466,24901990
Lassa mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161882,1970,4987547,N,0,1,0,0,0,0,0,1,0,26276630,15487592,3,1,broad,0,0,1,0,0,0,17326956,15487592
Lujo mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161884,2009,19478873,N,0,1,0,0,0,1,0,0,1,25393244,,3,1,broad,0,0,1,0,0,0,22953019,
Lymphocytic choriomeningitis mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161887,1934,Available from external site,N,0,1,0,0,0,0,0,1,0,26631809,23666045,3,1,broad,0,1,1,0,0,0,23666045,
Machupo mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161888,1964,14196061,N,0,1,0,0,0,0,0,0,0,25031335,,3,1,broad,0,0,1,0,0,0,182399,
Mobala mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161891,1985,2986324,Y,0,1*,0,0,0,0,0,0,0,26982388,,2,0,broad,0,0,1,0,0,0,26982388,
Pichindé mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161896,1974,4856825,Y,0,1*,0,0,0,0,0,0,0,23552411,,2,0,broad,0,0,1,0,0,0,23552411,
Sabiá mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161898,1994,7905555,N,0,1,0,0,0,0,0,0,0,7905555,,3,1,broad,0,0,1,0,0,0,7905555,
Whitewater Arroyo mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161902,2000,10960307,N,0,1,0,0,0,0,0,0,0,11508391,,2,0,broad,0,0,1,0,0,0,11508391,
Mamastrovirus 1,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161926,1975,48925,N,0,0,1,0,0,0,0,0,0,16546454,,4b,1,narrow,1,0,0,0,0,0,16546454,
Mamastrovirus 6,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161931,2008,18398449,N,0,0,1,0,0,0,0,0,0,26212039,24789796,4b,1,narrow,1,0,0,0,0,0,26212039,
Mamastrovirus 8,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161933,2009,19814825,N,0,0,1,0,0,0,0,0,0,25975198,,4b,1,narrow,1,0,0,0,0,0,25975198,
Mamastrovirus 9,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161934,2009,19706703,N,0,0,1,0,0,0,0,0,0,19706703,,4b,1,narrow,1,0,0,0,0,0,19706703,
Mammalian 1 bornavirus,Bornavirus,Bornaviridae,1,(-)ssRNA,20160985,1985,3922055,N,0,0,0,0,0,0,0,0,1,23223618,,2,0,broad,0,1,1,0,0,0,23223618,
Mammalian 2 bornavirus ,Bornavirus,Bornaviridae,1,(-)ssRNA,20165112,2015,26154788,N,0,0,0,0,0,0,1,0,1*,26154788,,2,0,broad,0,0,1,0,0,0,26154788,
Norwalk virus ,Norovirus,Caliciviridae,0,(+)ssRNA,20162202,1972,4117963,N,0,0,1,0,0,0,0,0,1,19796107,22317811,4a,1,broad,0,0,1,0,0,0,22389721,
Sapporo virus,Sapovirus,Caliciviridae,0,(+)ssRNA,20162204,1980,7410899,N,0,0,1,0,0,0,0,0,0,27120472,,4a,1,broad,0,0,1,0,0,0,21645054,
Vesicular exanthema of swine virus,Vesivirus,Caliciviridae,0,(+)ssRNA,20162207,1998,9502467,N,0,1*,1*,0,0,0,0,0,1*,6283714,,2,0,broad,0,0,1,0,1,1,19913368,
Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,1,(+)ssRNA,20161200,2007,17447647,Y,0,0,1*,0,0,0,0,0,0,22320357,,2,0,broad,0,0,1,0,0,0,22320357,28549438
Human coronavirus 229E ,Alphacoronavirus,Coronaviridae,1,(+)ssRNA,20161203,1966,4285768,N,0,1,0,0,0,1,0,0,0,26556276,,4b,1,narrow,1,0,0,0,0,0,12551991,
Human coronavirus NL63,Alphacoronavirus,Coronaviridae,1,(+)ssRNA,20161204,2004,15073334,N,0,1,0,0,0,1,0,0,0,21366416,,4b,1,narrow,1,0,0,0,0,0,21366416,
Betacoronavirus 1,Betacoronavirus,Coronaviridae,1,(+)ssRNA,20161212,1967,5231356,N,0,1,0,0,0,1,0,0,0,28549438,,4a,1,broad,0,0,1,0,0,0,22362949,28549438
Human coronavirus HKU1,Betacoronavirus,Coronaviridae,1,(+)ssRNA,20161214,2005,15613317,N,0,1,0,0,0,1,0,0,0,23161446,,4b,1,narrow,1,0,0,0,0,0,23161446,
Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1,(+)ssRNA,20161215,2012,23075143,N,0,1,0,0,0,0,0,0,1,28653496,,3,1,broad,0,0,1,0,0,0,28653496,
Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1,(+)ssRNA,20161219,2003,12711465,N,0,1,0,0,0,0,0,0,0,15018126,,4a,1,broad,0,0,1,0,0,0,12939793,
Human torovirus,Torovirus,Coronaviridae,1,(+)ssRNA,20161240,1984,6143978,N,0,0,1,0,0,0,0,0,0,9426455,,4b,1,narrow,1,0,0,0,0,0,9426455,
Bundibugyo ebolavirus,Ebolavirus,Filoviridae,1,(-)ssRNA,20160996,2008,19023410,N,0,0,0,0,0,0,1,0,1,27489269,,3,1,broad,0,0,1,0,0,0,27489269,
Reston ebolavirus ,Ebolavirus,Filoviridae,1,(-)ssRNA,20160997,1991,1671441,N,0,0,0,0,0,0,1,0,1,10024977,,2,0,broad,0,1,1,0,0,0,21801651,10024977
Sudan ebolavirus ,Ebolavirus,Filoviridae,1,(-)ssRNA,20160998,1977,65662,N,0,0,0,0,0,1,1,0,1,10024977,,3,1,broad,0,1,1,0,0,0,10024977,23155478
Tai forest ebolavirus,Ebolavirus,Filoviridae,1,(-)ssRNA,20160999,1995,7746057,N,0,0,0,0,0,1,1,0,1,10024977,,2,0,broad,0,1,1,0,0,0,10024977,23155478
Zaire ebolavirus,Ebolavirus,Filoviridae,1,(-)ssRNA,20161000,1977,65661,N,0,0,0,1,0,1,1,1,1,10024977,,4a,1,broad,0,1,1,0,0,0,10024977,23155478
Marburg marburgvirus,Marburgvirus,Filoviridae,1,(-)ssRNA,20161002,1968,4974179,N,0,0,0,1,0,1,1,1,1,10024977,,3,1,broad,0,1,1,0,0,0,10024977,17712412
Aroa virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162428,1971,5107116,N,1,0,0,0,0,0,0,0,0,6293325,,2,0,broad,0,0,1,0,0,0,6293325,
Bagaza virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162429,2009,19570951,Y,1,0,0,0,0,0,0,0,0,24056604,,2,0,broad,0,0,0,1,0,0,22486922,
Banzi virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162430,1959,13832180,N,1,0,0,0,0,0,0,0,0,6261449,,2,0,broad,0,0,1,0,0,0,6300226,
Cacipacore virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162433,2011,21860907,N,1,0,0,0,0,0,0,0,0,28220327,,2,0,broad,0,0,1,1,0,0,28220327,11113383
Dengue virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162437,1907,Available from external site,N,1,0,0,0,0,0,0,1,0,25052008,,4a,1,narrow,0,1,0,0,0,0,15138077,10072155
Edge Hill virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162438,1985,3007952,Y,1,0,0,0,0,0,0,0,0,19486319,,2,0,broad,0,0,1,0,0,0,19486319,
Gadgets Gully virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162440,1991,1657626,Y,1,0,0,0,0,0,0,0,0,19486319,,2,0,broad,0,0,0,1,0,0,19486319,
Ilheus virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162441,1947,20285157,N,1,0,0,0,0,0,0,0,0,23875051,,2,0,broad,0,0,1,1,0,0,11359196,11113383
Japanese encephalitis virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162443,1933,Available from external site,N,1,0,0,0,0,0,0,1,0,19786116,,3,1,broad,0,1,1,1,1,0,22883515,19523297
Kokobera virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162448,1985,3007952,Y,1,0,0,0,0,0,0,0,0,10930658,,2,0,broad,0,0,1,0,0,0,10930658,
Kyasanur forest disease virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162450,1957,13448774,N,1,0,0,0,0,0,0,0,0,19788811,,2,0,broad,0,1,1,0,0,0,19788811,
Langat virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162451,1956,13369466,Y,1,0,0,0,0,0,0,0,0,22984545,19486319,2,0,broad,0,0,1,0,0,0,180846,19486319
Louping ill virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162452,1934,19870271,N,1,0,0,0,0,0,1,0,1,24552787,10726271,2,0,broad,0,0,1,1,0,0,24552787,10726271
Murray Valley encephalitis virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162456,1952,14909902,N,1,0,0,0,0,0,0,0,0,6299259,,2,0,broad,0,0,1,1,0,0,6299259,
Ntaya virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162457,1952,14946416,Y,1,0,0,0,0,0,0,0,0,28606155,,2,0,broad,0,0,1,1,0,0,22996737,
Omsk hemorrhagic fever virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162458,1947,18910918,N,1,1,0,0,0,0,0,0,0,20850178,,2,0,broad,0,0,1,0,0,0,20850178,
Powassan virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162460,1959,13652010,N,1,0,0,0,0,0,0,0,0,20434750,,2,0,broad,0,0,1,1,1,0,3017527,
Rio Bravo virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162461,1962,13918297,Y,0,1,0,0,0,0,0,0,0,22457530,,2,0,broad,0,0,1,0,0,0,22457530,
St. Louis encephalitis virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162468,1933,17752093,N,1,0,0,0,0,0,0,0,0,23474474,11113383,2,0,broad,0,1,1,1,1,0,480524,23474474
Tembusu virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162469,1975,809868,N,1,0,0,0,0,0,0,0,0,22000358,,2,0,broad,0,0,0,1,0,0,22000358,
Tick-borne encephalitis virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162470,1938,Available from external site,N,1,0,0,0,0,0,0,0,0,18240970,,2,0,broad,0,1,1,1,0,0,18240970,22924442
Uganda S virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162472,1952,13005679,Y,1,0,0,0,0,0,0,0,0,1659238,,2,0,broad,0,0,1,0,0,0,19741066,
Usutu virus,Flavivirus,Flaviviridae,1,(+)ssRNA,20162473,2009,20070936,N,1,0,0,0,1,0,0,0,0,22389712,,3,1,broad,0,0,1,1,0,0,22389712,6300226
Wesselsbron virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162474,1957,13506709,N,1,0,0,0,0,0,0,0,0,15958020,,2,0,broad,0,0,1,0,0,0,6300226,
West Nile virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162475,1940,Available from external site,N,1,0,0,0,0,0,0,1,0,17332186,,3,1,broad,0,1,1,1,1,0,17471040,
Yellow fever virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162477,1901,Available from external site,N,1,0,0,0,0,0,0,0,0,25672346,11113383,4a,1,broad,0,1,1,0,0,0,15138077,11113383
Zika virus ,Flavivirus,Flaviviridae,1,(+)ssRNA,20162479,1954,13157159,N,1,0,0,1,0,0,0,1,0,21529401,,4a,1,broad,0,1,1,0,0,0,21529401,
Hepacivirus C,Hepacivirus,Flaviviridae,1,(+)ssRNA,20162481,1989,2523562,N,0,0,0,1,1,0,1,1,1,26212868,,4b,1,narrow,1,0,0,0,0,0,19065353,
Pegivirus A,Pegivirus,Flaviviridae,1,(+)ssRNA,20162483,1995,7475605,N,0,0,0,1,1,0,0,1,1,22752515,,4b,1,narrow,1,0,0,0,0,0,22752515,
Bovine viral diarrhea virus 1,Pestivirus,Flaviviridae,1,(+)ssRNA,20162487,1988,2898685,N,0,1*,0,0,0,1*,0,0,1*,19833455,,2,0,broad,0,0,1,0,0,0,20638945,
Andes orthohantavirus,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162090,1996,8659118,N,0,1,0,0,0,0,0,0,0,15479837,,3,1,broad,0,0,1,0,0,0,12095430,
Bayou orthohantavirus ,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162091,1995,7853545,N,0,1,0,0,0,0,0,0,0,20836801,,2,0,broad,0,0,1,0,0,0,20836801,
Black creek canal orthohantavirus ,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162092,1995,7618284,N,0,1,0,0,0,0,0,0,0,20455779,,2,0,broad,0,0,1,0,0,0,20455779,
Choclo orthohantavirus,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20164779,2000,11062031,N,0,1*,0,0,0,0,0,0,1,19556568,,2,0,broad,0,0,1,0,0,0,23836565,
Dobrava-Belgrade orthohantavirus ,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162094,1992,1351508,N,0,1,0,0,0,0,0,0,0,22877560,,2,0,broad,0,0,1,0,0,0,22877560,
Hantaan orthohantavirus ,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162096,1978,24670,N,0,1,0,0,0,0,0,0,0,18305044,,2,0,broad,0,0,1,0,0,0,22129409,
Laguna Negra orthohantavirus,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162099,1997,9375015,N,0,1,0,0,0,0,0,0,0,11791973,,2,0,broad,0,0,1,0,0,0,11791973,
Puumala orthohantavirus ,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162103,1980,6102587,N,0,1,0,0,0,0,0,0,0,22877560,,2,0,broad,0,0,1,0,0,0,22877560,
Sangassou orthohantavirus,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162107,2010,20187741,Y,0,1,0,0,0,0,0,0,0,22278233,,2,0,broad,0,0,1,0,0,0,22278233,
Seoul orthohantavirus ,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162108,1982,6128079,N,0,1,0,0,0,0,0,0,0,23305714,,2,0,broad,0,0,1,0,0,0,23305714,
Sin Nombre orthohantavirus ,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162109,1993,8235615,N,0,1,0,0,0,0,0,0,0,23110096,,2,0,broad,0,0,1,0,0,0,23110096,
Thailand orthohantavirus,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162110,2006,17124002,Y,0,1*,0,0,0,0,0,0,0,24575755,,2,0,broad,0,0,1,0,0,0,16953877,
Thottapalayam orthohantavirus,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162111,2007,17182762,N,0,1*,0,0,0,0,0,0,0,17182762,,2,0,broad,0,0,1,0,0,0,17182762,
Tula orthohantavirus,Orthohantavirus,Hantaviridae,1,(-)ssRNA,20162113,1996,9000098,N,0,1*,0,0,0,0,1,0,1,19889769,,2,0,broad,0,0,1,0,0,0,19889769,
Orthohepevirus A,Orthohepevirus,Hepeviridae,0,(+)ssRNA,20162905,1983,6409836,N,0,0,1,0,0,0,0,1,0,19697413,,4a,1,broad,0,1,1,1,0,0,19697413,17961279
Crimean-Congo haemorrhagic fever orthonairovirus ,Orthonairovirus,Nairoviridae,1,(-)ssRNA,20162115,1967,6040759,N,1,0,0,0,0,0,0,0,0,22300969,10747269,3,1,broad,0,0,1,1,0,0,3140434,22889105
Dugbe orthonairovirus ,Orthonairovirus,Nairoviridae,1,(-)ssRNA,20162117,1969,5409104,N,1,0,0,0,0,0,0,0,0,28479064,,2,0,broad,0,1,1,0,0,0,8666081,
Thiafora orthonairovirus,Orthonairovirus,Nairoviridae,1,(-)ssRNA,20162121,1989,2570514,N,1,0,0,0,0,0,0,0,0,22864548,,2,0,broad,0,0,1,0,0,0,22864548,
Influenza A virus,Influenzavirus A,Orthomyxoviridae,1,(-)ssRNA,20163200,1933,Available from external site,N,0,1,0,0,0,0,0,1,1,23746799,28302313,4a,1,broad,0,1,1,1,0,0,23017256,22371588
Influenza B virus ,Influenzavirus B,Orthomyxoviridae,1,(-)ssRNA,20163202,1940,Available from external site,N,0,1,0,0,0,0,0,0,1,25268241,28302313,4a,1,broad,0,0,1,0,0,0,25673727,22710350
Influenza C virus  ,Influenzavirus C,Orthomyxoviridae,1,(-)ssRNA,20163204,1950,14787444,N,0,1,0,0,0,0,0,0,1,23408893,28302313,4a,1,broad,0,0,1,0,0,0,9140195,1325663
Dhori virus,Thogotovirus,Orthomyxoviridae,1,(-)ssRNA,20163211,1985,2864836,Y,1,0,0,0,0,0,0,0,0,22526290,,2,0,broad,0,0,1,1,0,0,22526290,
Thogoto virus ,Thogotovirus,Orthomyxoviridae,1,(-)ssRNA,20163212,1969,5409104,N,1,0,0,0,0,0,0,0,0,22526290,,2,0,broad,0,0,1,0,0,0,22526290,
Avian avulavirus 1 ,Avulavirus,Paramyxoviridae,1,(-)ssRNA,20161031,1943,Available from external site,N,0,0,1,0,0,1,0,0,1,22135263,,2,0,broad,0,0,0,1,0,0,22135263,
Hendra henipavirus ,Henipavirus,Paramyxoviridae,1,(-)ssRNA,20161037,1995,9815409,N,0,0,0,0,0,0,0,0,1,23302882,,2,0,broad,0,0,1,0,0,0,23302882,
Nipah henipavirus ,Henipavirus,Paramyxoviridae,1,(-)ssRNA,20161039,1999,10482278,N,0,1,1,0,0,0,0,0,1,11243752,23302882,3,1,broad,0,0,1,0,0,0,11243752,23302882
Canine morbillivirus,Morbillivirus,Paramyxoviridae,1,(-)ssRNA,20161041,1955,13273120,N,0,1*,0,0,0,1,0,0,1*,22214864,,2,0,broad,0,1,1,0,0,0,22214864,
Measles morbillivirus ,Morbillivirus,Paramyxoviridae,1,(-)ssRNA,20161044,1911,Available from external site,N,0,1,0,0,0,0,0,1,1,18568081,24929750,4a,1,narrow,0,1,0,0,0,0,24929750,24501402
Human respirovirus 1 ,Respirovirus,Paramyxoviridae,1,(-)ssRNA,20161050,1958,13504446,N,0,1,0,0,0,0,0,0,0,23343342,,4a,1,narrow,0,1,0,0,0,0,26658594,
Human respirovirus 3 ,Respirovirus,Paramyxoviridae,1,(-)ssRNA,20161051,1958,13504446,N,0,1,0,0,0,0,0,0,0,21466639,,4a,1,narrow,0,1,0,0,0,0,21466639,
Human rubulavirus 2 ,Rubulavirus,Paramyxoviridae,1,(-)ssRNA,20161055,1956,13367330,N,0,1,0,0,0,0,0,0,0,19386708,28095926,4a,1,narrow,0,1,0,0,0,0,10769073,
Human rubulavirus 4,Rubulavirus,Paramyxoviridae,1,(-)ssRNA,20161056,1960,14407482,N,0,1,0,0,0,0,0,0,0,19386708,28095926,4b,1,narrow,1,0,0,0,0,0,28095926,
Mammalian rubulavirus 5,Rubulavirus,Paramyxoviridae,1,(-)ssRNA,20161059,1959,13631261,N,0,1*,0,0,0,0,0,0,1*,4291701,26583313,2,0,broad,0,1,1,0,0,0,15448364,26583313
Mumps rubulavirus ,Rubulavirus,Paramyxoviridae,1,(-)ssRNA,20161058,1934,19870227,N,0,0,0,0,0,0,0,1,1,28068914,,4b,1,narrow,1,0,0,0,0,0,28068914,
Simian rubulavirus,Rubulavirus,Paramyxoviridae,1,(-)ssRNA,20161061,1968,Available from external site,Y,0,1*,0,0,0,0,0,0,1*,2212992,,2,0,unknown,?,?,?,?,?,?,2212992,
Sosuga rubulavirus,Rubulavirus,Paramyxoviridae,1,(-)ssRNA,20165119,2014,24447466,N,0,1*,0,0,0,0,0,0,1*,24447466,,2,0,narrow,0,0,1,0,0,0,24447466,
Tioman rubulavirus,Rubulavirus,Paramyxoviridae,1,(-)ssRNA,20165121,2007,17703419,Y,0,1,0,0,0,0,0,0,1,17703419,,2,0,broad,0,0,1,0,0,0,17703419,
Bunyamwera orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162134,1946,21020339,N,1,0,0,0,0,0,0,0,0,19501478,,2,0,broad,0,1,1,1,0,0,19501478,
Bwamba orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162136,1941,Available from external site,N,1,0,0,0,0,0,0,0,0,12789111,,3,1,broad,0,0,1,0,0,0,12789111,
