Species,Genus,Family,Envelope,Genome,ICTV history URL,Discovery year,Reference (discovery),Serological detection only,Vector,Inhalation,Ingestion,Sexual,Iatrogenic (inc. blood),Fomites,Broken Skin,Maternal,Direct Contact,Reference (Transmission route),Ref2 (TR),Transmission level,Person-to-person,Host range,Human only,Non-human primate,Other mammals,Birds,Reptiles,Fish,Reference (Host range),Ref2 (HR)
California encephalitis orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162137,1952,13009479,N,1,0,0,0,0,0,0,0,0,21435229,,2,0,broad,0,0,1,0,0,0,6126267,21435229
Caraparu orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162139,1961,13691675,N,1,0,0,0,0,0,0,0,0,27074162,,2,0,broad,0,1,1,0,0,0,17705031,
Catu orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162140,1961,13691675,N,1,0,0,0,0,0,0,0,0,204207,,2,0,broad,0,1,1,0,0,0,204207,
Guama orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162144,1961,13691675,Y,1,0,0,0,0,0,0,0,0,234206,,2,0,broad,0,1,1,0,0,0,204207,
Guaroa orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162145,1959,13851794,N,1,0,0,0,0,0,0,0,0,20810845,,2,0,broad,0,0,1,0,0,0,1928574,20810845
Kairi orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162147,1967,5585978,Y,1,0,0,0,0,0,0,0,0,13793361,,2,0,broad,0,0,1,0,0,0,3143273,
Madrid orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162149,1964,14222439,N,1,0,0,0,0,0,0,0,0,24633174,,2,0,broad,0,0,1,0,0,0,16051848,
Marituba orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162152,1961,13691675,N,1,0,0,0,0,0,0,0,0,24633174,,2,0,broad,0,1,1,0,0,0,16051848,
Nyando orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162155,1965,14292787,N,1,0,0,0,0,0,0,0,0,28488954,,2,0,unknown,?,?,?,?,?,?,28488954,
Oriboca orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162157,1961,13691675,N,1,0,0,0,0,0,0,0,0,16051848,,2,0,broad,0,1,1,0,0,0,16051848,
Oropouche orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162158,1961,13683183,N,1,0,0,0,0,0,0,0,0,20727376,,3,1,broad,0,1,1,0,0,0,20727376,16318707
Patois orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162159,1972,4400811,Y,1,0,0,0,0,0,0,0,0,3981,,2,0,broad,0,0,1,0,0,0,3981,
Shuni orthobunyavirus,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162162,1975,1124969,N,1,0,0,0,0,0,0,0,0,24134941,,2,0,broad,0,0,1,0,0,0,22305525,
Tacaiuma orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162164,1967,5585978,N,1,0,0,0,0,0,0,0,0,19439468,,2,0,broad,0,1,1,0,0,0,8115796,
Wyeomyia orthobunyavirus ,Orthobunyavirus,Peribunyaviridae,1,(-)ssRNA,20162169,1965,14332846,N,1,0,0,0,0,0,0,0,0,22278828,,2,0,broad,0,0,1,0,0,0,22278828,
Candiru phlebovirus,Phlebovirus,Phenuviridae,1,(-)ssRNA,20162173,1983,6312820,N,1,0,0,0,0,0,0,0,0,21289119,,2,0,broad,0,0,1,0,0,0,21289119,
Punta Toro phlebovirus ,Phlebovirus,Phenuviridae,1,(-)ssRNA,20162176,1970,5491847,N,1,0,0,0,0,0,0,0,0,4206329,,2,0,broad,0,0,1,0,0,0,19393266,
Rift Valley fever phlebovirus ,Phlebovirus,Phenuviridae,1,(-)ssRNA,20162177,1931,Available from external site,N,1,1,0,0,0,0,1,0,1,25569474,,3,1,broad,0,0,1,0,0,0,10817634,
Sandfly fever Naples phlebovirus ,Phlebovirus,Phenuviridae,1,(-)ssRNA,20162179,1944,Available from external site,N,1,0,0,0,0,0,0,0,0,4206329,,2,0,broad,0,0,1,0,0,0,27783676,
SFTS phlebovirus,Phlebovirus,Phenuviridae,1,(-)ssRNA,20162180,2012,21457654,N,1,0,0,0,1,0,0,0,1,25061851,,3,1,broad,0,0,1,1,0,0,27035712,24451093
Uukuniemi phlebovirus,Phlebovirus,Phenuviridae,1,(-)ssRNA,20162181,1970,Available from external site,Y,1,0,0,0,0,0,0,0,0,23239568,,2,0,broad,0,0,1,1,0,0,23283959,
Human picobirnavirus ,Picobirnavirus,Picobirnaviridae,0,dsRNA,20163569,1988,2898672,N,0,0,1,0,0,0,0,0,0,17245535,,4b,1,narrow,1,0,0,0,0,0,17245535,
Equine rhinitis A virus ,Aphthovirus,Picornaviridae,0,(+)ssRNA,20161306,1962,14487261,Y,0,1*,0,0,0,0,0,0,1,15778036,,2,0,broad,0,0,1,0,0,0,15778036,
Foot-and-mouth disease virus ,Aphthovirus,Picornaviridae,0,(+)ssRNA,20161307,1965,4290196,N,0,0,0,0,0,1,0,0,1,18834510,,2,0,broad,0,0,1,0,0,0,18834510,
Cardiovirus A,Cardiovirus,Picornaviridae,0,(+)ssRNA,20161315,1947,20340975,N,0,1,0,0,0,0,0,0,0,15099508,,2,0,broad,0,1,1,0,0,0,9833886,21323673
Cardiovirus B,Cardiovirus,Picornaviridae,0,(+)ssRNA,20161316,1963,14087883,N,0,0,1,0,0,0,0,0,0,20410900,,4a,1,broad,0,0,1,0,0,0,20410900,
Cosavirus A,Cosavirus,Picornaviridae,0,(+)ssRNA,20161319,2008,19033469,N,0,1,1,0,0,0,0,0,1,27631733,19033469,4b,1,narrow,1,0,0,0,0,0,19033469,22615791
Cosavirus B,Cosavirus,Picornaviridae,0,(+)ssRNA,20165190,2008,19033469,N,0,1*,1*,0,0,0,0,0,1*,27631733,19033469,4b,1,narrow,1,0,0,0,0,0,19033469,22615791
Cosavirus D,Cosavirus,Picornaviridae,0,(+)ssRNA,20165191,2008,19033469,N,0,1*,1*,0,0,0,0,0,1*,27631733,19033469,4b,1,narrow,1,0,0,0,0,0,19033469,22615791
Cosavirus E,Cosavirus,Picornaviridae,0,(+)ssRNA,20165192,2008,19102772,N,0,1*,1*,0,0,0,0,0,1*,27631733,19033469,4b,1,narrow,1,0,0,0,0,0,22615791,
Cosavirus F,Cosavirus,Picornaviridae,0,(+)ssRNA,20165193,2012,22615791,N,0,1*,1*,0,0,0,0,0,1*,27631733,19033469,4b,1,narrow,1,0,0,0,0,0,22615791,
Enterovirus A,Enterovirus,Picornaviridae,0,(+)ssRNA,20161323,1949,15391667,N,0,0,1,0,0,0,0,1,0,5415578,,4a,1,narrow,0,1,0,0,0,0,16943351,23097448
Enterovirus B,Enterovirus,Picornaviridae,0,(+)ssRNA,20161324,1949,15391667,N,0,0,1,0,0,0,0,1,0,26053872,,4a,1,narrow,0,1,1,0,0,0,23097448,
Enterovirus C,Enterovirus,Picornaviridae,0,(+)ssRNA,20161325,1909,Available from external site,N,0,0,1,0,0,0,0,1,0,9203732,,4a,1,narrow,0,1,0,0,0,0,25079078,
Enterovirus D,Enterovirus,Picornaviridae,0,(+)ssRNA,20161326,1967,4960233,N,0,0,1,0,0,0,0,0,0,28367789,,4a,1,narrow,0,1,0,0,0,0,21345956,
Enterovirus E,Enterovirus,Picornaviridae,0,(+)ssRNA,20161327,1961,13773015,Y,0,0,1*,0,0,0,0,0,0,28367789,,2,0,broad,0,0,1,0,0,0,24830424,
Rhinovirus A,Enterovirus,Picornaviridae,0,(+)ssRNA,20161332,1953,13097995,N,0,1,0,0,0,1,0,0,1,6261689,205151,4b,1,narrow,1,0,0,0,0,0,6312099,
Rhinovirus B,Enterovirus,Picornaviridae,0,(+)ssRNA,20161333,1960,13840115,N,0,1,0,0,0,1,0,0,1,6261689,205151,4b,1,narrow,1,0,0,0,0,0,6312099,
Rhinovirus C,Enterovirus,Picornaviridae,0,(+)ssRNA,20161334,2007,17804649,N,0,1,0,0,0,1,0,0,1,6261689,205151,4b,1,narrow,1,0,0,0,0,0,6312099,
Erbovirus A,Erbovirus,Picornaviridae,0,(+)ssRNA,20161336,2005,15778036,Y,0,1*,0,0,0,1*,0,0,1*,15778036,,2,0,broad,0,0,1,0,0,0,23960171,
Hepatovirus A,Hepatovirus,Picornaviridae,0,(+)ssRNA,20161340,1973,4356028,N,0,0,1,0,0,0,0,1,0,25050760,,4a,1,narrow,0,1,0,0,0,0,26575627,
Aichivirus A,Kobuvirus,Picornaviridae,0,(+)ssRNA,20161344,1991,1658159,N,0,0,1,0,0,0,0,0,0,25996404,,4b,1,narrow,1,0,0,0,0,0,25996404,
Parechovirus A,Parechovirus,Picornaviridae,0,(+)ssRNA,20161362,1958,13538681,N,0,0,1,0,0,0,0,0,0,11438028,16220089,4a,1,narrow,0,1,0,0,0,0,17311340,20587198
Parechovirus B,Parechovirus,Picornaviridae,0,(+)ssRNA,20161363,2003,12745669,N,0,0,1*,0,0,0,0,0,0,26489898,,2,0,broad,0,1,1,0,0,0,17311340,23665770
Salivirus A,Salivirus,Picornaviridae,0,(+)ssRNA,20161375,2009,19538752,N,0,0,1*,0,0,0,0,0,0,26193371,,4a,1,unknown,?,?,?,?,?,?,25889358,
Avian metapneumovirus,Metapneumovirus,Pneumoviridae,1,(-)ssRNA,20161065,2011,21736487,Y,0,1*,0,0,0,0,0,0,1*,24637582,22874773,2,0,broad,0,0,0,1,0,0,23763901,24756465
Human metapneumovirus,Metapneumovirus,Pneumoviridae,1,(-)ssRNA,20161066,2001,11385510,N,0,1,0,0,0,1,0,0,1,22874773,,4a,1,narrow,0,1,0,0,0,0,25091145,25417845
Human orthopneumovirus ,Orthopneumovirus,Pneumoviridae,1,(-)ssRNA,20161069,1957,13478578,N,0,1,0,0,0,1,0,0,0,28458916,,4a,1,narrow,0,1,0,0,0,0,22931057,
Colorado tick fever virus ,Coltivirus,Reoviridae,0,dsRNA,20164155,1946,19871512,N,1,0,0,0,0,0,0,0,0,17126919,,3,1,broad,0,0,1,0,0,0,17126919,
Eyach virus,Coltivirus,Reoviridae,0,dsRNA,20164156,1980,6106383,Y,1,0,0,0,0,0,0,0,0,6508529,22526290,2,0,broad,0,0,1,0,0,0,16318717,
Corriparta virus,Orbivirus,Reoviridae,0,dsRNA,20164111,1967,Available from external site,Y,1,0,0,0,0,0,0,0,0,19766284,27213426,2,0,broad,0,0,1,1,0,0,27213426,
Great Island virus ,Orbivirus,Reoviridae,0,dsRNA,20164115,1963,14071281,N,1,0,0,0,0,0,0,0,0,26350980,16216136,2,0,broad,0,0,1,1,0,0,16216136,26350980
Lebombo virus ,Orbivirus,Reoviridae,0,dsRNA,20164117,1975,1124969,N,1,0,0,0,0,0,0,0,0,24475112,,2,0,broad,0,0,1,0,0,0,24475112,
Orungo virus ,Orbivirus,Reoviridae,0,dsRNA,20164118,1976,973798,N,1,0,0,0,0,0,0,0,0,24475112,,2,0,broad,0,1,1,0,0,0,24475112,
Mammalian orthoreovirus,Orthoreovirus,Reoviridae,0,dsRNA,20164199,1954,13237336,N,0,1*,0,0,0,0,0,0,0,22905211,,4a,1,broad,0,1,1,0,0,0,22931153,15964158
Nelson Bay orthoreovirus,Orthoreovirus,Reoviridae,0,dsRNA,20164200,2007,17592121,N,0,1,0,0,0,0,0,0,0,22905211,,3,1,broad,0,0,1,0,0,0,22931153,
Rotavirus A ,Rotavirus,Reoviridae,0,dsRNA,20164133,1973,4127639,N,0,0,1,0,0,0,0,1,1,21575246,18712810,4a,1,broad,0,1,1,1,0,0,18712810,2122998
Rotavirus B ,Rotavirus,Reoviridae,0,dsRNA,20164134,1984,6144874,N,0,0,1,0,0,0,0,1,1,9230391,,4a,1,broad,0,0,1,0,0,0,9230391,
Rotavirus C ,Rotavirus,Reoviridae,0,dsRNA,20164135,1986,3009541,N,0,0,1,0,0,0,0,1,1,28558823,,4a,1,broad,0,0,1,0,0,0,18712810,
Rotavirus H,Rotavirus,Reoviridae,0,dsRNA,20164140,1998,10921117,N,0,0,1,0,0,0,0,0,1,26658066,,3,1,broad,0,0,1,0,0,0,26658066,
Banna virus ,Seadornavirus,Reoviridae,0,dsRNA,20164142,1990,Available from external site,N,1,0,0,0,0,0,0,0,0,18680655,,2,0,broad,0,0,1,0,0,0,18680655,
Primate T-lymphotropic virus 1 ,Deltaretrovirus,Retroviridae,1,ssRNA-RT,20164226,1980,6261256,N,0,0,0,1,0,0,0,1,1,15911757,,4a,1,narrow,0,1,0,0,0,0,8627240,
Primate T-lymphotropic virus 2 ,Deltaretrovirus,Retroviridae,1,ssRNA-RT,20164227,1982,6981847,N,0,0,0,1,0,0,0,1,1,15911757,,4a,1,narrow,0,1,0,0,0,0,8627240,
Primate T-lymphotropic virus 3,Deltaretrovirus,Retroviridae,1,ssRNA-RT,20164228,2005,15882466,N,0,0,0,1,0,0,0,1,1,15911757,,4a,1,narrow,0,1,0,0,0,0,8627240,
Human immunodeficiency virus 1 ,Lentivirus,Retroviridae,1,ssRNA-RT,20164256,1983,6189183,N,0,0,0,1,1,0,1,1,1,7962552,,4b,1,narrow,1,0,0,0,0,0,17507975,
Human immunodeficiency virus 2 ,Lentivirus,Retroviridae,1,ssRNA-RT,20164257,1986,3006256,N,0,0,0,1,1,0,1,1,1,27530215,,4b,1,narrow,1,0,0,0,0,0,17507975,
Simian immunodeficiency virus,Lentivirus,Retroviridae,1,ssRNA-RT,20164259,1992,1353193,N,0,0,0,0,1,0,1,0,1,22673358,,2,0,narrow,0,1,0,0,0,0,17507975,
African green monkey simian foamy virus,Spumavirus,Retroviridae,1,ssRNA-RT,20164263,1997,9151878,N,0,0,0,0,0,0,1,0,1,10516034,,2,0,narrow,0,1,0,0,0,0,10516034,
Macaque simian foamy virus,Spumavirus,Retroviridae,1,ssRNA-RT,20164267,2002,12241782,N,0,0,0,0,0,0,1,0,1,24109214,,2,0,narrow,0,1,0,0,0,0,24109214,
Simian foamy virus,Spumavirus,Retroviridae,1,ssRNA-RT,20164268,1971,4998605,N,0,0,0,0,0,0,1,0,1,16608518,,2,0,narrow,0,1,0,0,0,0,19485797,
Australian bat lyssavirus,Lyssavirus,Rhabdoviridae,1,(-)ssRNA,20161095,1998,9775399,N,0,0,0,0,0,0,1,0,1,28033365,,2,0,broad,0,0,1,0,0,0,28033365,
Duvenhage lyssavirus ,Lyssavirus,Rhabdoviridae,1,(-)ssRNA,20161097,1971,5106834,N,0,0,0,0,0,0,1,0,1,19636367,,2,0,broad,0,0,1,0,0,0,19636367,
European bat 1 lyssavirus,Lyssavirus,Rhabdoviridae,1,(-)ssRNA,20161098,1989,2576595,N,0,0,0,0,0,0,1,0,1,18205973,,2,0,broad,0,0,1,0,0,0,18632972,25192547
European bat 2 lyssavirus,Lyssavirus,Rhabdoviridae,1,(-)ssRNA,20161099,1986,2868310,N,0,0,0,0,0,0,1,0,1,18205973,,2,0,broad,0,0,1,0,0,0,22937876,
Irkut lyssavirus,Lyssavirus,Rhabdoviridae,1,(-)ssRNA,20161101,2013,23505588,N,0,0,0,0,0,0,1,0,1,16705370,,2,0,broad,0,0,1,0,0,0,23505588,
Mokola lyssavirus ,Lyssavirus,Rhabdoviridae,1,(-)ssRNA,20161104,1972,4635777,N,0,0,0,0,0,0,1*,0,1*,4772939,,2,0,broad,0,0,1,1,0,0,4772939,
Rabies lyssavirus,Lyssavirus,Rhabdoviridae,1,(-)ssRNA,20161105,1903,Available from external site,N,0,0,0,0,1,0,1,0,1,23597620,,3,1,broad,0,1,1,1,0,0,6749977,22612895
Bas-Congo tibrovirus,Tibrovirus,Rhabdoviridae,1,(-)ssRNA,20165169,2012,23028323,N,1*,0,0,0,0,0,0,0,1*,23028323,,3,1,unknown,?,?,?,?,?,?,23028323,
Ekpoma 1 tibrovirus ,Tibrovirus,Rhabdoviridae,1,(-)ssRNA,20165170,2015,25781465,N,?,?,?,?,?,?,?,?,?,23028323,,2,?,unknown,?,?,?,?,?,?,23028323,
Ekpoma 2 tibrovirus,Tibrovirus,Rhabdoviridae,1,(-)ssRNA,20165171,2015,25781465,N,?,?,?,?,?,?,?,?,?,23028323,,2,?,unknown,?,?,?,?,?,?,23028323,
Alagoas vesiculovirus ,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161153,1967,4291620,Y,1,0,0,0,0,0,0,0,0,3034087,23034141,2,0,broad,0,0,1,0,0,0,16021308,
Chandipura vesiculovirus ,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161155,1967,4970067,N,1,0,0,0,0,0,0,0,0,22721825,,2,0,broad,0,1,1,0,0,0,22721825,15929402
Cocal vesiculovirus,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161156,1964,14103231,N,1,0,0,0,0,0,0,0,0,21830071,,2,0,broad,0,0,1,0,0,0,21830071,
Indiana vesiculovirus ,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161157,1958,13549332,N,1,0,0,0,0,0,0,0,0,4335268,,2,0,broad,0,1,1,0,0,0,12296402,
Isfahan vesiculovirus,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161158,1977,192094,Y,1,0,0,0,0,0,0,0,0,192094,,2,0,broad,0,0,1,0,0,0,192094,
Maraba vesiculovirus,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161159,1984,6091472,Y,1,0,0,0,0,0,0,0,0,6091472,,2,0,broad,0,0,1,0,0,0,6091472,
New Jersey vesiculovirus ,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161160,1950,14784641,N,1,0,0,0,0,0,0,0,0,23034141,,2,0,broad,0,0,1,0,0,0,12296402,
Piry vesiculovirus ,Vesiculovirus,Rhabdoviridae,1,(-)ssRNA,20161161,1974,4604602,N,1,0,0,0,0,0,0,0,0,4097557,,2,0,broad,0,1,1,0,0,0,6747282,
Barmah Forest virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164301,1986,3767767,N,1,0,0,0,0,0,0,0,0,21752915,,3,1,broad,0,0,1,0,0,0,21752915,
Chikungunya virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164304,1956,13346078,N,1,0,0,0,0,0,0,1,0,20519386,,4a,1,broad,0,1,1,0,0,0,21118930,20889861
Eastern equine encephalitis virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164305,1938,17843373,N,1,0,0,0,0,0,0,0,0,10466964,,2,0,broad,0,0,1,1,1,0,10466964,
Everglades virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164307,1970,5410814,N,1,0,0,0,0,0,0,0,0,17326938,,2,0,broad,0,0,1,0,0,0,17326938,
Getah virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164309,1974,4214338,Y,1,0,0,0,0,0,0,0,0,23268691,,2,0,broad,0,0,1,0,0,0,25898181,
Highlands J virus,Alphavirus,Togaviridae,1,(+)ssRNA,20164310,2000,11057975,Y,1,0,0,0,0,0,0,0,0,19651164,,2,0,broad,0,0,1,1,0,0,2849884,8827668
Mayaro virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164312,1957,13487973,N,1,0,0,0,0,0,0,0,0,9037738,,2,0,broad,0,1,1,1,0,0,14609474,
Mosso das Pedras virus,Alphavirus,Togaviridae,1,(+)ssRNA,20164314,2013,24349588,Y,1,0,0,0,0,0,0,0,0,17947533,,2,0,broad,0,0,1,0,0,0,17947533,
Mucambo virus,Alphavirus,Togaviridae,1,(+)ssRNA,20164315,1965,14292756,N,1,0,0,0,0,0,0,0,0,17947533,,2,0,broad,0,1,1,0,0,0,17947533,
Ndumu virus,Alphavirus,Togaviridae,1,(+)ssRNA,20164316,1961,13757662,Y,1,0,0,0,0,0,0,0,0,23006778,,2,0,broad,0,0,1,0,0,0,23006778,
O'nyong-nyong virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164317,1961,13785469,N,1,0,0,0,0,0,0,0,0,10466973,,3,1,broad,0,0,1,0,0,0,10466973,
Pixuna virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164318,1991,1844977,N,1,0,0,0,0,0,0,0,0,19402767,,2,0,broad,0,0,1,0,0,0,19402767,
Rio Negro virus,Alphavirus,Togaviridae,1,(+)ssRNA,20164319,1993,8153352,Y,1,0,0,0,0,0,0,0,0,19402767,,2,0,broad,0,0,1,0,0,0,19402767,
Ross River virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164320,1972,5040017,N,1,0,0,0,0,0,0,0,0,24799374,,3,1,broad,0,0,1,1,0,0,23054414,17360861
Semliki Forest virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164322,1979,424742,N,1,0,0,0,0,0,0,0,0,12491154,,3,1,broad,0,1,1,0,0,0,17947533,
Sindbis virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164323,1955,13259009,N,1,0,0,0,0,0,0,0,0,15554947,,2,0,broad,0,0,1,1,0,0,15554947,
Tonate virus,Alphavirus,Togaviridae,1,(+)ssRNA,20164325,1976,1020877,N,1,0,0,0,0,0,0,0,0,11463116,,2,0,broad,0,0,1,1,0,0,11463116,7435797
Una virus,Alphavirus,Togaviridae,1,(+)ssRNA,20164327,1963,14070772,Y,1,0,0,0,0,0,0,0,0,23085307,,2,0,broad,0,1,1,0,0,0,17947533,17658571
Venezuelan equine encephalitis virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164328,1943,19871301,N,1,0,0,0,0,0,0,0,0,22989182,,3,1,broad,0,0,1,1,0,0,2863991,7563415
Western equine encephalitis virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164329,1938,17736946,N,1,0,0,0,0,0,0,0,0,22989182,,2,0,broad,0,0,1,1,1,0,2863991,
Whataroa virus ,Alphavirus,Togaviridae,1,(+)ssRNA,20164330,1964,14244706,Y,1,0,0,0,0,0,0,0,0,15381803,,2,0,broad,0,0,1,1,0,0,17947533,
Rubella virus ,Rubivirus,Togaviridae,1,(+)ssRNA,20164332,1942,Available from external site,N,0,1,0,0,0,0,0,1,1,22855483,,4b,1,narrow,1,0,0,0,0,0,22855483,17038700
Hepatitis delta virus ,Deltavirus,Unassigned,1,(-)ssRNA,20164479,1977,75123,N,0,0,0,0,1,0,1,0,0,12534779,,4b,1,narrow,1,0,0,0,0,0,23523924,12534779
